id,id_objecta,id_spr_etap_rabot,id_otvetstvennogo,id_avtor,data_nachala_rabot,data_okonchaniya_rabot,document_number,srok_dney,comment,status
9974,213057163,8,6,6,2014-05-08,2014-05-08,,,," ? ??????"
9975,213057164,8,6,6,2014-05-02,2014-05-01,,,," ? ??????"
9976,213057165,8,6,6,2014-05-02,2014-05-01,,,," ? ??????"
9977,213057166,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9978,213057167,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9979,213057168,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9980,213057169,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9981,213057170,8,6,6,2014-04-25,2014-04-25,,,," ? ??????"
9982,213057171,8,6,6,2014-04-25,2014-04-25,,,," ? ??????"
9983,213057172,67,20,20,2014-05-08,2014-05-08,238,,," ? ??????"
9984,213057173,8,6,6,2014-05-05,2014-05-04,,,," ? ??????"
9985,213057174,8,6,6,2014-04-25,2014-04-25,,,," ? ??????"
9986,213057175,8,6,6,2014-05-11,2014-05-11,,,," ? ??????"
9987,213057176,8,6,6,2014-05-05,2014-05-04,,,," ? ??????"
9988,213057177,8,6,6,2014-05-02,2014-05-01,,,," ? ??????"
9989,213057178,8,6,6,2014-05-05,2014-05-04,,,," ? ??????"
9990,213057179,8,6,6,2014-05-05,2014-05-04,,,," ? ??????"
9991,213057180,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9992,213057181,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
9993,213057182,8,6,6,2014-05-05,2014-05-04,,,," ? ??????"
9994,213057183,8,6,6,2014-05-12,2014-05-12,,,," ? ??????"
9995,213057184,8,6,6,2014-05-11,2014-05-11,,,," ? ??????"
9996,213057185,8,6,6,2014-05-11,2014-05-11,,,," ? ??????"
19997,213057186,8,6,6,2014-05-12,2014-05-12,,,," ? ??????"
19998,213057187,8,6,6,2014-05-11,2014-05-11,,,," ? ??????"
19999,213057188,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
20000,213057189,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
20001,213057190,8,6,6,2014-05-02,2014-05-02,,,," ? ??????"
20002,213057191,8,6,6,2014-04-28,2014-04-28,,,," ? ??????"
20003,213057192,8,6,6,2014-05-02,2014-05-01,,,," ? ??????"
20004,213057193,67,20,20,2014-05-05,2014-05-05,190,,," ? ??????"
20005,213057194,8,6,6,2014-05-02,2014-04-30,,,," ? ??????"
20006,213057195,67,20,20,2014-04-29,2014-04-29,138,,," ? ??????"
20007,213057196,67,20,20,2014-04-29,2014-04-29,137,,," ? ??????"
20008,213057197,4,20,20,2014-04-21,2014-04-18,36_41904,,," ? ??????"
20009,215052203,69,20,20,2015-04-24,2015-04-20,150,,," ? ??????"
20010,215052205,69,20,20,2015-04-24,2015-04-20,153,,," ? ??????"
20011,215052210,69,20,20,2015-04-24,2015-04-20,152,,," ? ??????"
20012,215052229,69,20,20,2015-04-24,2015-04-20,151,,," ? ??????"
20013,215052245,69,20,20,2015-04-23,2015-04-20,143,,," ? ??????"
20014,215052251,67,20,20,2015-04-21,2015-04-21,138,,," ? ??????"
20015,215052252,69,20,20,2015-04-23,2015-04-23,144,,," ? ??????"
20016,215052274,4,20,20,2015-04-21,2015-04-13,15_1153,,," ? ??????"
20017,215052275,8,6,6,2015-04-22,2015-04-21,,,," ? ??????"
20018,215052281,8,6,6,2015-04-22,2015-04-21,,,," ? ??????"
20019,215052287,69,20,20,2015-04-24,2015-04-20,149,,," ? ??????"
20020,215052303,69,20,20,2015-04-23,2015-04-20,146,,," ? ??????"
20021,215052305,69,20,20,2015-04-24,2015-04-20,148,,," ? ??????"
20022,215052326,69,20,20,2015-04-23,2015-04-23,142,,," ? ??????"
20023,215052330,44,20,20,2015-04-24,2015-04-24,,,," ? ??????"
20024,215052339,69,20,20,2015-04-23,2015-04-20,145,,," ? ??????"
20025,314091100,69,20,20,2014-10-10,2014-10-10,429,,," ? ??????"
20026,314091101,69,20,20,2014-10-09,2014-10-09,413,,," ? ??????"
20027,314091102,69,20,20,2014-10-09,2014-10-09,412,,," ? ??????"
20028,314091103,69,20,20,2014-10-09,2014-10-09,411,,," ? ??????"
20029,314091104,69,20,20,2014-10-09,2014-10-09,410,,," ? ??????"
20030,314091105,69,20,20,2014-10-09,2014-10-09,409,,," ? ??????"
20031,314091106,69,20,20,2014-10-09,2014-10-09,408,,," ? ??????"
20032,314091107,69,20,20,2014-10-09,2014-10-09,407,,," ? ??????"
20033,314091108,69,20,20,2014-10-13,2014-10-13,445,,," ? ??????"
20034,314091109,69,20,20,2014-10-09,2014-10-09,415,,," ? ??????"
20035,314091110,69,20,20,2014-10-09,2014-10-09,416,,," ? ??????"
20036,314091111,69,20,20,2014-10-09,2014-10-09,406,,," ? ??????"
20037,314091112,69,20,20,2014-10-09,2014-10-09,405,,," ? ??????"
20038,314091113,69,20,20,2014-10-09,2014-10-09,404,,," ? ??????"
20039,314091114,69,20,20,2014-10-09,2014-10-09,403,,," ? ??????"
20040,314091115,69,20,20,2014-10-09,2014-10-09,402,,," ? ??????"
20041,314091116,69,20,20,2014-10-09,2014-10-09,401,,," ? ??????"
20042,314091117,69,20,20,2014-10-09,2014-10-09,400,,," ? ??????"
20043,314091118,69,20,20,2014-10-09,2014-10-09,399,,," ? ??????"
20044,314091119,69,20,20,2014-10-13,2014-10-13,441,,," ? ??????"
20045,314091120,69,20,20,2014-10-13,2014-10-13,435,,," ? ??????"
20046,314091121,69,20,20,2014-10-13,2014-10-13,436,,," ? ??????"
20047,314091122,69,20,20,2014-10-13,2014-10-13,437,,," ? ??????"
20048,314091123,69,20,20,2014-10-13,2014-10-13,439,,," ? ??????"
20049,314091124,69,20,20,2014-10-13,2014-10-13,438,,," ? ??????"
20050,314091125,69,20,20,2014-10-03,2014-10-03,329,,," ? ??????"
20051,314091126,44,20,20,2014-10-07,2014-10-07,,,," ? ??????"
20052,314091127,69,20,20,2014-10-07,2014-10-07,355,,," ? ??????"
20053,314091128,69,20,20,2014-10-07,2014-10-07,356,,," ? ??????"
20054,314091129,44,20,20,2014-09-25,2014-09-25,,,," ? ??????"
20055,314091130,69,20,20,2014-10-17,2014-10-02,315,,," ? ??????"
20056,314091131,69,20,20,2014-10-15,2014-10-15,466,,," ? ??????"
20057,314091132,69,20,20,2014-10-15,2014-10-15,465,,," ? ??????"
20058,314091133,69,20,20,2014-10-15,2014-10-15,464,,," ? ??????"
20059,314091134,69,20,20,2014-10-15,2014-10-15,463,,," ? ??????"
20060,314091135,69,20,20,2014-10-15,2014-10-15,462,,," ? ??????"
20061,314091136,69,20,20,2014-10-15,2014-10-16,475,,," ? ??????"
20062,314091137,69,20,20,2014-10-15,2014-10-15,460,,," ? ??????"
20063,315012207,69,20,20,2015-04-13,2015-04-13,75,,," ? ??????"
20064,315012208,69,20,20,2015-04-13,2015-04-13,76,,," ? ??????"
20065,315012221,69,20,20,2015-04-13,2015-04-13,77,,," ? ??????"
20066,315012238,69,20,20,2015-04-13,2015-04-13,78,,," ? ??????"
20067,315012240,69,20,20,2015-04-13,2015-04-13,60,,," ? ??????"
20068,315012253,69,20,20,2015-04-13,2015-04-13,61,,," ? ??????"
20069,315012254,69,20,20,2015-04-13,2015-04-13,62,,," ? ??????"
20070,315012273,69,20,20,2015-04-13,2015-04-13,63,,," ? ??????"
